Cancel,Abbrechen,
Proceed Anyway,Weiter,
Qualification Card Required,Qualifikationskarte erforderlich,
Proceeding without qualification card verification,Fortfahren ohne Qualifikationskartenprüfung,
This product requires a qualification card. The customer currently has no qualification card registered. Please verify before continuing.,Dieses Produkt erfordert einen Pflanzenschutzmittel-Sachkundenachweis. Aktuell besitzt dieser Kunde keinen Nachweis. Bitte bestätige das weitere Vorgehen.,
Additional VAT 19%,Zzgl. Umsatzsteuer 19%,
Additional VAT 7%,Zzgl. Umsatzsteuer 7%,
Important Information,Wichtige Informationen,
Dunning,MAHNUNG,
Dunning No.,Mahnungsnr.,
Date,Datum,
Customer No.,Kundennr.,
Dunning Type,Mahnart,
Your Contact Person,Ihr Ansprechpartner,
Dear Mr.,Sehr geehrter Herr,
Dear Mrs.,Sehr geehrte Frau,
Dear Sir or Madam,Sehr geehrte Damen und Herren,
"We have noted that the invoice(s) listed below have not been fully settled despite being due. We kindly request that you settle the outstanding amount promptly, stating the respective invoice number.","wir haben festgestellt, dass die unten aufgeführte(n) Rechnung(en) trotz Fälligkeit noch nicht vollständig ausgeglichen wurde(n). Wir bitten Sie, den offenen Betrag kurzfristig unter Angabe der jeweiligen Rechnungsnummer zu begleichen.",
Pos.,Pos.,
Invoice,Rechnung,
Dunning Level,Mahnstufe,
Days,Tage,
Outstanding,Offen,
Interest,Zinsen,
Total Outstanding,Gesamt offen,
Dunning Fee,Mahngebühr,
Grand Total,Gesamtbetrag,
"Please note that your payment may have crossed with this reminder. If the amount has already been settled, please consider this letter as void.","Bitte beachten Sie, dass sich Ihre Zahlung möglicherweise mit dieser Mahnung gekreuzt hat. Sollte der Betrag bereits beglichen worden sein, betrachten Sie dieses Schreiben bitte als gegenstandslos.",
"If payment has not yet been made, we kindly request prompt transfer of the outstanding amount.","Sofern noch kein Zahlungsausgleich erfolgt ist, bitten wir um kurzfristige Überweisung des offenen Betrages.",
"If you have any questions, we are of course always happy to help.","Bei Rückfragen stehen wir selbstverständlich jederzeit gerne zur Verfügung.",
Kind regards,Mit freundlichen Grüßen,
Delivery Note,Lieferschein,
Delivery Note No.,Lieferscheinnr.,
Delivery Note Date,Lieferscheindatum,
Delivery Date,Lieferdatum,
Thank you for your trust. Today we deliver your goods according to your order,vielen Dank für Ihr Vertrauen. Heute liefern wir ihre Ware gemäß Ihres Auftrages,
Pos,Pos,
Item Name,Artikelname,
Description,Beschreibung,
Packing Unit,Verpackungseinheit,
Item Number,Artikelnummer,
Quantity / Unit,Menge / EH,
Pricing Unit,Preiseinheit,
PURCHASE ORDER,BESTELLUNG,
"The following number must be listed on all documents, shipping papers and invoices:","Die folgende Nummer muss auf allen Dokumenten, Frachtpapieren und Rechnungen aufgeführt sein:",
ORDER NUMBER,AUFTRAGSNUMMER,
Price / Unit,Preis / EH,
Thank you in advance.,Vielen Dank im Voraus.,
Invoice To:,Rechnung an:,
Shipped To:,Versand an:,
Supplier Name,Lieferantenname,
Shipping Per,Versand über,
Conditions,Bedingungen,
Supplier Item No,Lieferanten-Artikelnr.,
Net Amount,Nettobetrag,
Total Amount,Gesamtbetrag,
QUOTATION,ANGEBOT,
Quote No.,Angebotsnr.,
Quote Date,Angebotsdatum,
"Thank you for your interest. I am pleased to present you with the following offer. This offer is subject to change.","vielen Dank für Ihr Interesse. Ich freue mich sehr, Ihnen das folgende Angebot unterbreiten zu können: Das Angebot ist freibleibend.",
"We look forward to your approval of this offer. If you have any questions, please do not hesitate to contact us.","Wir freuen uns, sollte dieses Angebot Ihre Zustimmung finden. Bei Rückfragen stehen wir Ihnen gerne zur Verfügung.",
Sales Price,Verkaufspreis,
Additional Discount,Zusätzlicher Rabatt,
Discount Amount,Rabattbetrag,
INVOICE,RECHNUNG,
Order/Quote No.,Auftrags-/AngebotsN°,
Order Date,Auftragsdatum,
"Thank you for your order. As agreed, we charge you for the following services:","Vielen Dank, für Ihren Auftrag. Vereinbarungsgemäß berechnen wir Ihnen hiermit folgende Leistungen:",
"Thank you for this order. In the future, continue to rely on AgraWa GmbH as the right partner. We are happy to offer you additional supplies.","Vielen Dank für diesen Auftrag. Setzten Sie mit der AgraWa GmbH auch in Zukunft auf den richtigen Partner. Gerne bieten wir Ihnen weitere Betriebsmittel an.",
"We thank you for your trust and good cooperation. Please recommend us to others. If you have any questions, we are of course always happy to help.","Wir danken Ihnen für Ihr Vertrauen und die gute Zusammenarbeit. Bitte empfehlen Sie uns weiter. Bei Rückfragen stehen wir selbstverständlich jederzeit gerne zur Verfügung.",
ORDER CONFIRMATION,AUFTRAGSBESTÄTIGUNG,
Order No.,Angebotsnr.,
"Thank you for your order. I am pleased to confirm the following order today. You are relying on the right partner with AgraWa GmbH. Here is an overview of all agreements:","Vielen Dank für Ihren Auftrag. Ich freue mich sehr, Ihnen heute den folgenden Auftrag bestätigen zu können. Sie setzen mit der AgraWa GmbH auf den richtigen Partner. Hier alle Vereinbarungen in der Übersicht:",
Due Date,Fälligkeitsdatum,
Posting Date,Buchungsdatum,
Today we credit the following amount to your account:,heute schreiben wir Ihnen folgenden Betrag gut:,
We sincerely thank you for your support. The credit amount will be credited to your account in the coming days.,"Wir bedanken uns herzlich für Ihre Unterstützung. Der Gutschriftsbetrag wird Ihnen in den kommenden Tagen auf Ihr Konto gutgeschrieben.",
CREDIT NOTE,GUTSCHRIFT,
